
./src/release/share/notepad:     file format elf64-x86-64


Disassembly of section .init:

0000000000001000 <_init>:
    1000:	f3 0f 1e fa          	endbr64 
    16fb:	48 89 c7             	mov    %rax,%rdi
    16fe:	e8 dd fa ff ff       	call   11e0 <puts@plt>
    1703:	eb 1a                	jmp    171f <command_login+0x1a2>
    1705:	48 c7 05 60 3a 00 00 	movq   $0x0,0x3a60(%rip)        # 5170 <Token>
    170c:	00 00 00 00 
    1710:	48 8d 05 5b 19 00 00 	lea    0x195b(%rip),%rax        # 3072 <_IO_stdin_used+0x72>
    1717:	48 89 c7             	mov    %rax,%rdi
    171a:	e8 c1 fa ff ff       	call   11e0 <puts@plt>
    171f:	48 8b 45 f8          	mov    -0x8(%rbp),%rax
    1723:	64 48 2b 04 25 28 00 	sub    %fs:0x28,%rax
    172a:	00 00 
    172c:	74 05                	je     1733 <command_login+0x1b6>
    172e:	e8 dd fa ff ff       	call   1210 <__stack_chk_fail@plt>
    1733:	c9                   	leave  
    1734:	c3                   	ret    

0000000000001735 <command_register>:
    1735:	f3 0f 1e fa          	endbr64 
    1739:	55                   	push   %rbp
    173a:	48 89 e5             	mov    %rsp,%rbp
    173d:	48 81 ec e0 01 00 00 	sub    $0x1e0,%rsp
    1744:	89 bd 3c fe ff ff    	mov    %edi,-0x1c4(%rbp)
    174a:	48 89 b5 30 fe ff ff 	mov    %rsi,-0x1d0(%rbp)
    1751:	48 89 95 28 fe ff ff 	mov    %rdx,-0x1d8(%rbp)
    1758:	64 48 8b 04 25 28 00 	mov    %fs:0x28,%rax
    175f:	00 00 
    1761:	48 89 45 f8          	mov    %rax,-0x8(%rbp)
    1765:	31 c0                	xor    %eax,%eax
    1767:	48 8b 85 30 fe ff ff 	mov    -0x1d0(%rbp),%rax
    176e:	48 89 c7             	mov    %rax,%rdi
    1771:	e8 8a fa ff ff       	call   1200 <strlen@plt>
    1776:	48 83 f8 0f          	cmp    $0xf,%rax
    177a:	77 15                	ja     1791 <command_register+0x5c>
    177c:	48 8b 85 28 fe ff ff 	mov    -0x1d8(%rbp),%rax
    1783:	48 89 c7             	mov    %rax,%rdi
    1786:	e8 75 fa ff ff       	call   1200 <strlen@plt>
    178b:	48 83 f8 0f          	cmp    $0xf,%rax
    178f:	76 14                	jbe    17a5 <command_register+0x70>
    1791:	48 8d 05 88 18 00 00 	lea    0x1888(%rip),%rax        # 3020 <_IO_stdin_used+0x20>
    1798:	48 89 c7             	mov    %rax,%rdi
    179b:	e8 40 fa ff ff       	call   11e0 <puts@plt>
    17a0:	e9 0f 01 00 00       	jmp    18b4 <command_register+0x17f>
    17a5:	48 8d 85 40 fe ff ff 	lea    -0x1c0(%rbp),%rax
    17ac:	ba a4 00 00 00       	mov    $0xa4,%edx
    17b1:	be 00 00 00 00       	mov    $0x0,%esi
    17b6:	48 89 c7             	mov    %rax,%rdi
    17b9:	e8 a2 fa ff ff       	call   1260 <memset@plt>
    17be:	c7 85 40 fe ff ff 01 	movl   $0x1,-0x1c0(%rbp)
    17c5:	00 00 00 
    17c8:	48 8b 85 30 fe ff ff 	mov    -0x1d0(%rbp),%rax
    17cf:	48 8d 95 40 fe ff ff 	lea    -0x1c0(%rbp),%rdx
    17d6:	48 83 c2 24          	add    $0x24,%rdx
    17da:	48 89 c6             	mov    %rax,%rsi
    17dd:	48 89 d7             	mov    %rdx,%rdi
    17e0:	e8 eb f9 ff ff       	call   11d0 <strcpy@plt>
    17e5:	48 8d 85 40 fe ff ff 	lea    -0x1c0(%rbp),%rax
    17ec:	48 83 c0 24          	add    $0x24,%rax
    17f0:	48 89 c7             	mov    %rax,%rdi
    17f3:	e8 08 fa ff ff       	call   1200 <strlen@plt>
    17f8:	48 83 c0 01          	add    $0x1,%rax
    17fc:	48 8d 95 40 fe ff ff 	lea    -0x1c0(%rbp),%rdx
    1803:	48 83 c0 20          	add    $0x20,%rax
    1807:	48 01 d0             	add    %rdx,%rax
    180a:	48 8d 50 04          	lea    0x4(%rax),%rdx
    180e:	48 8b 85 28 fe ff ff 	mov    -0x1d8(%rbp),%rax
    1815:	48 89 c6             	mov    %rax,%rsi
    1818:	48 89 d7             	mov    %rdx,%rdi
    181b:	e8 b0 f9 ff ff       	call   11d0 <strcpy@plt>
    1820:	48 8d 8d 40 fe ff ff 	lea    -0x1c0(%rbp),%rcx
    1827:	8b 85 3c fe ff ff    	mov    -0x1c4(%rbp),%eax
    182d:	ba a4 00 00 00       	mov    $0xa4,%edx
    1832:	48 89 ce             	mov    %rcx,%rsi
    1835:	89 c7                	mov    %eax,%edi
    1837:	e8 b4 f9 ff ff       	call   11f0 <write@plt>
    183c:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    1843:	ba 04 01 00 00       	mov    $0x104,%edx
    1848:	be 00 00 00 00       	mov    $0x0,%esi
    184d:	48 89 c7             	mov    %rax,%rdi
    1850:	e8 0b fa ff ff       	call   1260 <memset@plt>
    1855:	48 8d 8d f0 fe ff ff 	lea    -0x110(%rbp),%rcx
    185c:	8b 85 3c fe ff ff    	mov    -0x1c4(%rbp),%eax
    1862:	ba 04 01 00 00       	mov    $0x104,%edx
    1867:	48 89 ce             	mov    %rcx,%rsi
    186a:	89 c7                	mov    %eax,%edi
    186c:	e8 0f fa ff ff       	call   1280 <read@plt>
    1871:	48 3d 04 01 00 00    	cmp    $0x104,%rax
    1877:	74 11                	je     188a <command_register+0x155>
    1879:	48 8d 05 c0 17 00 00 	lea    0x17c0(%rip),%rax        # 3040 <_IO_stdin_used+0x40>
    1880:	48 89 c7             	mov    %rax,%rdi
    1883:	e8 58 f9 ff ff       	call   11e0 <puts@plt>
    1888:	eb 2a                	jmp    18b4 <command_register+0x17f>
    188a:	8b 85 f0 fe ff ff    	mov    -0x110(%rbp),%eax
    1890:	85 c0                	test   %eax,%eax
    1892:	75 11                	jne    18a5 <command_register+0x170>
    1894:	48 8d 05 e5 17 00 00 	lea    0x17e5(%rip),%rax        # 3080 <_IO_stdin_used+0x80>
    189b:	48 89 c7             	mov    %rax,%rdi
    189e:	e8 3d f9 ff ff       	call   11e0 <puts@plt>
    18a3:	eb 0f                	jmp    18b4 <command_register+0x17f>
    18a5:	48 8d 05 e6 17 00 00 	lea    0x17e6(%rip),%rax        # 3092 <_IO_stdin_used+0x92>
    18ac:	48 89 c7             	mov    %rax,%rdi
    18af:	e8 2c f9 ff ff       	call   11e0 <puts@plt>
    18b4:	48 8b 45 f8          	mov    -0x8(%rbp),%rax
    18b8:	64 48 2b 04 25 28 00 	sub    %fs:0x28,%rax
    18bf:	00 00 
    18c1:	74 05                	je     18c8 <command_register+0x193>
    18c3:	e8 48 f9 ff ff       	call   1210 <__stack_chk_fail@plt>
    18c8:	c9                   	leave  
    18c9:	c3                   	ret    

00000000000018ca <command_newnote>:
    18ca:	f3 0f 1e fa          	endbr64 
    18ce:	55                   	push   %rbp
    18cf:	48 89 e5             	mov    %rsp,%rbp
    18d2:	48 81 ec f0 01 00 00 	sub    $0x1f0,%rsp
    18d9:	89 bd 2c fe ff ff    	mov    %edi,-0x1d4(%rbp)
    18df:	48 89 b5 20 fe ff ff 	mov    %rsi,-0x1e0(%rbp)
    18e6:	48 89 95 18 fe ff ff 	mov    %rdx,-0x1e8(%rbp)
    18ed:	64 48 8b 04 25 28 00 	mov    %fs:0x28,%rax
    18f4:	00 00 
    18f6:	48 89 45 f8          	mov    %rax,-0x8(%rbp)
    18fa:	31 c0                	xor    %eax,%eax
    18fc:	48 8b 05 6d 38 00 00 	mov    0x386d(%rip),%rax        # 5170 <Token>
    1903:	48 85 c0             	test   %rax,%rax
    1906:	75 14                	jne    191c <command_newnote+0x52>
    1908:	48 8d 05 94 17 00 00 	lea    0x1794(%rip),%rax        # 30a3 <_IO_stdin_used+0xa3>
    190f:	48 89 c7             	mov    %rax,%rdi
    1912:	e8 c9 f8 ff ff       	call   11e0 <puts@plt>
    1917:	e9 6f 01 00 00       	jmp    1a8b <command_newnote+0x1c1>
    191c:	48 8d 85 40 fe ff ff 	lea    -0x1c0(%rbp),%rax
    1923:	ba a4 00 00 00       	mov    $0xa4,%edx
    1928:	be 00 00 00 00       	mov    $0x0,%esi
    192d:	48 89 c7             	mov    %rax,%rdi
    1930:	e8 2b f9 ff ff       	call   1260 <memset@plt>
    1935:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    193c:	ba 04 01 00 00       	mov    $0x104,%edx
    1941:	be 00 00 00 00       	mov    $0x0,%esi
    1946:	48 89 c7             	mov    %rax,%rdi
    1949:	e8 12 f9 ff ff       	call   1260 <memset@plt>
    194e:	c7 85 40 fe ff ff 12 	movl   $0x12,-0x1c0(%rbp)
    1955:	00 00 00 
    1958:	48 8b 05 11 38 00 00 	mov    0x3811(%rip),%rax        # 5170 <Token>
    195f:	48 8d 95 40 fe ff ff 	lea    -0x1c0(%rbp),%rdx
    1966:	48 83 c2 04          	add    $0x4,%rdx
    196a:	48 89 c6             	mov    %rax,%rsi
    196d:	48 89 d7             	mov    %rdx,%rdi
    1970:	e8 5b f8 ff ff       	call   11d0 <strcpy@plt>
    1975:	48 8b 85 20 fe ff ff 	mov    -0x1e0(%rbp),%rax
    197c:	48 8d 95 40 fe ff ff 	lea    -0x1c0(%rbp),%rdx
    1983:	48 8d 4a 24          	lea    0x24(%rdx),%rcx
    1987:	ba 80 00 00 00       	mov    $0x80,%edx
    198c:	48 89 c6             	mov    %rax,%rsi
    198f:	48 89 cf             	mov    %rcx,%rdi
    1992:	e8 29 f8 ff ff       	call   11c0 <strncpy@plt>
    1997:	48 8d 8d 40 fe ff ff 	lea    -0x1c0(%rbp),%rcx
    199e:	8b 85 2c fe ff ff    	mov    -0x1d4(%rbp),%eax
    19a4:	ba a4 00 00 00       	mov    $0xa4,%edx
    19a9:	48 89 ce             	mov    %rcx,%rsi
    19ac:	89 c7                	mov    %eax,%edi
    19ae:	e8 3d f8 ff ff       	call   11f0 <write@plt>
    19b3:	48 8d 8d f0 fe ff ff 	lea    -0x110(%rbp),%rcx
    19ba:	8b 85 2c fe ff ff    	mov    -0x1d4(%rbp),%eax
    19c0:	ba 04 01 00 00       	mov    $0x104,%edx
    19c5:	48 89 ce             	mov    %rcx,%rsi
    19c8:	89 c7                	mov    %eax,%edi
    19ca:	e8 b1 f8 ff ff       	call   1280 <read@plt>
    19cf:	48 3d 04 01 00 00    	cmp    $0x104,%rax
    19d5:	74 14                	je     19eb <command_newnote+0x121>
    19d7:	48 8d 05 62 16 00 00 	lea    0x1662(%rip),%rax        # 3040 <_IO_stdin_used+0x40>
    19de:	48 89 c7             	mov    %rax,%rdi
    19e1:	e8 fa f7 ff ff       	call   11e0 <puts@plt>
    19e6:	e9 a0 00 00 00       	jmp    1a8b <command_newnote+0x1c1>
    19eb:	8b 85 f0 fe ff ff    	mov    -0x110(%rbp),%eax
    19f1:	85 c0                	test   %eax,%eax
    19f3:	74 14                	je     1a09 <command_newnote+0x13f>
    19f5:	48 8d 05 bb 16 00 00 	lea    0x16bb(%rip),%rax        # 30b7 <_IO_stdin_used+0xb7>
    19fc:	48 89 c7             	mov    %rax,%rdi
    19ff:	e8 dc f7 ff ff       	call   11e0 <puts@plt>
    1a04:	e9 82 00 00 00       	jmp    1a8b <command_newnote+0x1c1>
    1a09:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    1a10:	48 83 c0 04          	add    $0x4,%rax
    1a14:	be 02 00 00 00       	mov    $0x2,%esi
    1a19:	48 89 c7             	mov    %rax,%rdi
    1a1c:	b8 00 00 00 00       	mov    $0x0,%eax
    1a21:	e8 ba f8 ff ff       	call   12e0 <open@plt>
    1a26:	89 85 3c fe ff ff    	mov    %eax,-0x1c4(%rbp)
    1a2c:	83 bd 3c fe ff ff 00 	cmpl   $0x0,-0x1c4(%rbp)
    1a33:	79 11                	jns    1a46 <command_newnote+0x17c>
    1a35:	48 8d 05 7b 16 00 00 	lea    0x167b(%rip),%rax        # 30b7 <_IO_stdin_used+0xb7>
    1a3c:	48 89 c7             	mov    %rax,%rdi
    1a3f:	e8 9c f7 ff ff       	call   11e0 <puts@plt>
    1a44:	eb 45                	jmp    1a8b <command_newnote+0x1c1>
    1a46:	48 8b 85 18 fe ff ff 	mov    -0x1e8(%rbp),%rax
    1a4d:	48 89 c7             	mov    %rax,%rdi
    1a50:	e8 ab f7 ff ff       	call   1200 <strlen@plt>
    1a55:	48 89 c2             	mov    %rax,%rdx
    1a58:	48 8b 8d 18 fe ff ff 	mov    -0x1e8(%rbp),%rcx
    1a5f:	8b 85 3c fe ff ff    	mov    -0x1c4(%rbp),%eax
    1a65:	48 89 ce             	mov    %rcx,%rsi
    1a68:	89 c7                	mov    %eax,%edi
    1a6a:	e8 81 f7 ff ff       	call   11f0 <write@plt>
    1a6f:	8b 85 3c fe ff ff    	mov    -0x1c4(%rbp),%eax
    1a75:	89 c7                	mov    %eax,%edi
    1a77:	e8 f4 f7 ff ff       	call   1270 <close@plt>
    1a7c:	48 8d 05 48 16 00 00 	lea    0x1648(%rip),%rax        # 30cb <_IO_stdin_used+0xcb>
    1a83:	48 89 c7             	mov    %rax,%rdi
    1a86:	e8 55 f7 ff ff       	call   11e0 <puts@plt>
    1a8b:	48 8b 45 f8          	mov    -0x8(%rbp),%rax
    1a8f:	64 48 2b 04 25 28 00 	sub    %fs:0x28,%rax
    1a96:	00 00 
    1a98:	74 05                	je     1a9f <command_newnote+0x1d5>
    1a9a:	e8 71 f7 ff ff       	call   1210 <__stack_chk_fail@plt>
    1a9f:	c9                   	leave  
    1aa0:	c3                   	ret    

0000000000001aa1 <openfile>:
    1aa1:	f3 0f 1e fa          	endbr64 
    1aa5:	55                   	push   %rbp
    1aa6:	48 89 e5             	mov    %rsp,%rbp
    1aa9:	48 81 ec 80 02 00 00 	sub    $0x280,%rsp
    1ab0:	89 bd 9c fd ff ff    	mov    %edi,-0x264(%rbp)
    1ab6:	48 89 b5 90 fd ff ff 	mov    %rsi,-0x270(%rbp)
    1abd:	48 89 95 88 fd ff ff 	mov    %rdx,-0x278(%rbp)
    1ac4:	89 8d 98 fd ff ff    	mov    %ecx,-0x268(%rbp)
    1aca:	64 48 8b 04 25 28 00 	mov    %fs:0x28,%rax
    1ad1:	00 00 
    1ad3:	48 89 45 f8          	mov    %rax,-0x8(%rbp)
    1ad7:	31 c0                	xor    %eax,%eax
    1ad9:	48 8b 05 90 36 00 00 	mov    0x3690(%rip),%rax        # 5170 <Token>
    1ae0:	48 85 c0             	test   %rax,%rax
    1ae3:	75 19                	jne    1afe <openfile+0x5d>
    1ae5:	48 8d 05 b7 15 00 00 	lea    0x15b7(%rip),%rax        # 30a3 <_IO_stdin_used+0xa3>
    1aec:	48 89 c7             	mov    %rax,%rdi
    1aef:	e8 ec f6 ff ff       	call   11e0 <puts@plt>
    1af4:	b8 ff ff ff ff       	mov    $0xffffffff,%eax
    1af9:	e9 70 01 00 00       	jmp    1c6e <openfile+0x1cd>
    1afe:	48 8d 85 b0 fd ff ff 	lea    -0x250(%rbp),%rax
    1b05:	ba a4 00 00 00       	mov    $0xa4,%edx
    1b0a:	be 00 00 00 00       	mov    $0x0,%esi
    1b0f:	48 89 c7             	mov    %rax,%rdi
    1b12:	e8 49 f7 ff ff       	call   1260 <memset@plt>
    1b17:	48 8d 85 60 fe ff ff 	lea    -0x1a0(%rbp),%rax
    1b1e:	ba 04 01 00 00       	mov    $0x104,%edx
    1b23:	be 00 00 00 00       	mov    $0x0,%esi
    1b28:	48 89 c7             	mov    %rax,%rdi
    1b2b:	e8 30 f7 ff ff       	call   1260 <memset@plt>
    1b30:	c7 85 b0 fd ff ff 11 	movl   $0x11,-0x250(%rbp)
    1b37:	00 00 00 
    1b3a:	48 8b 05 2f 36 00 00 	mov    0x362f(%rip),%rax        # 5170 <Token>
    1b41:	48 8d 95 b0 fd ff ff 	lea    -0x250(%rbp),%rdx
    1b48:	48 83 c2 04          	add    $0x4,%rdx
    1b4c:	48 89 c6             	mov    %rax,%rsi
    1b4f:	48 89 d7             	mov    %rdx,%rdi
    1b52:	e8 79 f6 ff ff       	call   11d0 <strcpy@plt>
    1b57:	48 8d 8d b0 fd ff ff 	lea    -0x250(%rbp),%rcx
    1b5e:	8b 85 9c fd ff ff    	mov    -0x264(%rbp),%eax
    1b64:	ba a4 00 00 00       	mov    $0xa4,%edx
    1b69:	48 89 ce             	mov    %rcx,%rsi
    1b6c:	89 c7                	mov    %eax,%edi
    1b6e:	e8 7d f6 ff ff       	call   11f0 <write@plt>
    1b73:	48 8d 8d 60 fe ff ff 	lea    -0x1a0(%rbp),%rcx
    1b7a:	8b 85 9c fd ff ff    	mov    -0x264(%rbp),%eax
    1b80:	ba 04 01 00 00       	mov    $0x104,%edx
    1b85:	48 89 ce             	mov    %rcx,%rsi
    1b88:	89 c7                	mov    %eax,%edi
    1b8a:	e8 f1 f6 ff ff       	call   1280 <read@plt>
    1b8f:	48 3d 04 01 00 00    	cmp    $0x104,%rax
    1b95:	74 19                	je     1bb0 <openfile+0x10f>
    1b97:	48 8d 05 a2 14 00 00 	lea    0x14a2(%rip),%rax        # 3040 <_IO_stdin_used+0x40>
    1b9e:	48 89 c7             	mov    %rax,%rdi
    1ba1:	e8 3a f6 ff ff       	call   11e0 <puts@plt>
    1ba6:	b8 ff ff ff ff       	mov    $0xffffffff,%eax
    1bab:	e9 be 00 00 00       	jmp    1c6e <openfile+0x1cd>
    1bb0:	8b 85 60 fe ff ff    	mov    -0x1a0(%rbp),%eax
    1bb6:	85 c0                	test   %eax,%eax
    1bb8:	74 19                	je     1bd3 <openfile+0x132>
    1bba:	48 8d 05 1f 15 00 00 	lea    0x151f(%rip),%rax        # 30e0 <_IO_stdin_used+0xe0>
    1bc1:	48 89 c7             	mov    %rax,%rdi
    1bc4:	e8 17 f6 ff ff       	call   11e0 <puts@plt>
    1bc9:	b8 ff ff ff ff       	mov    $0xffffffff,%eax
    1bce:	e9 9b 00 00 00       	jmp    1c6e <openfile+0x1cd>
    1bd3:	48 8b 8d 90 fd ff ff 	mov    -0x270(%rbp),%rcx
    1bda:	48 8d 85 60 fe ff ff 	lea    -0x1a0(%rbp),%rax
    1be1:	48 8d 50 04          	lea    0x4(%rax),%rdx
    1be5:	48 8d 85 70 ff ff ff 	lea    -0x90(%rbp),%rax
    1bec:	49 89 c8             	mov    %rcx,%r8
    1bef:	48 89 d1             	mov    %rdx,%rcx
    1bf2:	48 8d 15 07 15 00 00 	lea    0x1507(%rip),%rdx        # 3100 <_IO_stdin_used+0x100>
    1bf9:	be 80 00 00 00       	mov    $0x80,%esi
    1bfe:	48 89 c7             	mov    %rax,%rdi
    1c01:	b8 00 00 00 00       	mov    $0x0,%eax
    1c06:	e8 35 f6 ff ff       	call   1240 <snprintf@plt>
    1c0b:	8b 95 98 fd ff ff    	mov    -0x268(%rbp),%edx
    1c11:	48 8d 85 70 ff ff ff 	lea    -0x90(%rbp),%rax
    1c18:	89 d6                	mov    %edx,%esi
    1c1a:	48 89 c7             	mov    %rax,%rdi
    1c1d:	b8 00 00 00 00       	mov    $0x0,%eax
    1c22:	e8 b9 f6 ff ff       	call   12e0 <open@plt>
    1c27:	89 85 ac fd ff ff    	mov    %eax,-0x254(%rbp)
    1c2d:	83 bd ac fd ff ff 00 	cmpl   $0x0,-0x254(%rbp)
    1c34:	79 16                	jns    1c4c <openfile+0x1ab>
    1c36:	48 8d 05 cc 14 00 00 	lea    0x14cc(%rip),%rax        # 3109 <_IO_stdin_used+0x109>
    1c3d:	48 89 c7             	mov    %rax,%rdi
    1c40:	e8 9b f5 ff ff       	call   11e0 <puts@plt>
    1c45:	b8 ff ff ff ff       	mov    $0xffffffff,%eax
    1c4a:	eb 22                	jmp    1c6e <openfile+0x1cd>
    1c4c:	48 8b 8d 88 fd ff ff 	mov    -0x278(%rbp),%rcx
    1c53:	8b 85 ac fd ff ff    	mov    -0x254(%rbp),%eax
    1c59:	ba 00 00 00 00       	mov    $0x0,%edx
    1c5e:	48 89 ce             	mov    %rcx,%rsi
    1c61:	89 c7                	mov    %eax,%edi
    1c63:	e8 e8 f5 ff ff       	call   1250 <lseek@plt>
    1c68:	8b 85 ac fd ff ff    	mov    -0x254(%rbp),%eax
    1c6e:	48 8b 55 f8          	mov    -0x8(%rbp),%rdx
    1c72:	64 48 2b 14 25 28 00 	sub    %fs:0x28,%rdx
    1c79:	00 00 
    1c7b:	74 05                	je     1c82 <openfile+0x1e1>
    1c7d:	e8 8e f5 ff ff       	call   1210 <__stack_chk_fail@plt>
    1c82:	c9                   	leave  
    1c83:	c3                   	ret    

0000000000001c84 <command_editnote>:
    1c84:	f3 0f 1e fa          	endbr64 
    1c88:	55                   	push   %rbp
    1c89:	48 89 e5             	mov    %rsp,%rbp
    1c8c:	48 83 ec 30          	sub    $0x30,%rsp
    1c90:	89 7d ec             	mov    %edi,-0x14(%rbp)
    1c93:	48 89 75 e0          	mov    %rsi,-0x20(%rbp)
    1c97:	48 89 55 d8          	mov    %rdx,-0x28(%rbp)
    1c9b:	48 89 4d d0          	mov    %rcx,-0x30(%rbp)
    1c9f:	48 8b 55 d8          	mov    -0x28(%rbp),%rdx
    1ca3:	48 8b 75 e0          	mov    -0x20(%rbp),%rsi
    1ca7:	8b 45 ec             	mov    -0x14(%rbp),%eax
    1caa:	b9 02 00 00 00       	mov    $0x2,%ecx
    1caf:	89 c7                	mov    %eax,%edi
    1cb1:	e8 eb fd ff ff       	call   1aa1 <openfile>
    1cb6:	89 45 fc             	mov    %eax,-0x4(%rbp)
    1cb9:	48 8b 45 d0          	mov    -0x30(%rbp),%rax
    1cbd:	48 89 c7             	mov    %rax,%rdi
    1cc0:	e8 3b f5 ff ff       	call   1200 <strlen@plt>
    1cc5:	48 89 c2             	mov    %rax,%rdx
    1cc8:	48 8b 4d d0          	mov    -0x30(%rbp),%rcx
    1ccc:	8b 45 fc             	mov    -0x4(%rbp),%eax
    1ccf:	48 89 ce             	mov    %rcx,%rsi
    1cd2:	89 c7                	mov    %eax,%edi
    1cd4:	e8 17 f5 ff ff       	call   11f0 <write@plt>
    1cd9:	8b 45 fc             	mov    -0x4(%rbp),%eax
    1cdc:	89 c7                	mov    %eax,%edi
    1cde:	e8 8d f5 ff ff       	call   1270 <close@plt>
    1ce3:	48 8d 05 37 14 00 00 	lea    0x1437(%rip),%rax        # 3121 <_IO_stdin_used+0x121>
    1cea:	48 89 c7             	mov    %rax,%rdi
    1ced:	e8 ee f4 ff ff       	call   11e0 <puts@plt>
    1cf2:	90                   	nop
    1cf3:	c9                   	leave  
    1cf4:	c3                   	ret    

0000000000001cf5 <command_shownote>:
    1cf5:	f3 0f 1e fa          	endbr64 
    1cf9:	55                   	push   %rbp
    1cfa:	48 89 e5             	mov    %rsp,%rbp
    1cfd:	48 81 ec c0 00 00 00 	sub    $0xc0,%rsp
    1d04:	89 bd 5c ff ff ff    	mov    %edi,-0xa4(%rbp)
    1d0a:	48 89 b5 50 ff ff ff 	mov    %rsi,-0xb0(%rbp)
    1d11:	48 89 95 48 ff ff ff 	mov    %rdx,-0xb8(%rbp)
    1d18:	64 48 8b 04 25 28 00 	mov    %fs:0x28,%rax
    1d1f:	00 00 
    1d21:	48 89 45 f8          	mov    %rax,-0x8(%rbp)
    1d25:	31 c0                	xor    %eax,%eax
    1d27:	48 8b 95 48 ff ff ff 	mov    -0xb8(%rbp),%rdx
    1d2e:	48 8b b5 50 ff ff ff 	mov    -0xb0(%rbp),%rsi
    1d35:	8b 85 5c ff ff ff    	mov    -0xa4(%rbp),%eax
    1d3b:	b9 00 00 00 00       	mov    $0x0,%ecx
    1d40:	89 c7                	mov    %eax,%edi
    1d42:	e8 5a fd ff ff       	call   1aa1 <openfile>
    1d47:	89 85 64 ff ff ff    	mov    %eax,-0x9c(%rbp)
    1d4d:	48 8d 8d 70 ff ff ff 	lea    -0x90(%rbp),%rcx
    1d54:	8b 85 64 ff ff ff    	mov    -0x9c(%rbp),%eax
    1d5a:	ba 80 00 00 00       	mov    $0x80,%edx
    1d5f:	48 89 ce             	mov    %rcx,%rsi
    1d62:	89 c7                	mov    %eax,%edi
    1d64:	e8 17 f5 ff ff       	call   1280 <read@plt>
    1d69:	48 89 85 68 ff ff ff 	mov    %rax,-0x98(%rbp)
    1d70:	48 83 bd 68 ff ff ff 	cmpq   $0x0,-0x98(%rbp)
    1d77:	00 
    1d78:	7f 11                	jg     1d8b <command_shownote+0x96>
    1d7a:	48 8d 05 af 13 00 00 	lea    0x13af(%rip),%rax        # 3130 <_IO_stdin_used+0x130>
    1d81:	48 89 c7             	mov    %rax,%rdi
    1d84:	e8 57 f4 ff ff       	call   11e0 <puts@plt>
    1d89:	eb 1b                	jmp    1da6 <command_shownote+0xb1>
    1d8b:	48 8b 95 68 ff ff ff 	mov    -0x98(%rbp),%rdx
    1d92:	48 8d 85 70 ff ff ff 	lea    -0x90(%rbp),%rax
    1d99:	48 89 c6             	mov    %rax,%rsi
    1d9c:	bf 01 00 00 00       	mov    $0x1,%edi
    1da1:	e8 4a f4 ff ff       	call   11f0 <write@plt>
    1da6:	48 8b 45 f8          	mov    -0x8(%rbp),%rax
    1daa:	64 48 2b 04 25 28 00 	sub    %fs:0x28,%rax
    1db1:	00 00 
    1db3:	74 05                	je     1dba <command_shownote+0xc5>
    1db5:	e8 56 f4 ff ff       	call   1210 <__stack_chk_fail@plt>
    1dba:	c9                   	leave  
    1dbb:	c3                   	ret    

0000000000001dbc <menu>:
    1dbc:	f3 0f 1e fa          	endbr64 
    1dc0:	55                   	push   %rbp
    1dc1:	48 89 e5             	mov    %rsp,%rbp
    1dc4:	48 8d 05 7d 13 00 00 	lea    0x137d(%rip),%rax        # 3148 <_IO_stdin_used+0x148>
    1dcb:	48 89 c7             	mov    %rax,%rdi
    1dce:	e8 0d f4 ff ff       	call   11e0 <puts@plt>
    1dd3:	48 8d 05 9e 13 00 00 	lea    0x139e(%rip),%rax        # 3178 <_IO_stdin_used+0x178>
    1dda:	48 89 c7             	mov    %rax,%rdi
    1ddd:	e8 fe f3 ff ff       	call   11e0 <puts@plt>
    1de2:	48 8d 05 bf 13 00 00 	lea    0x13bf(%rip),%rax        # 31a8 <_IO_stdin_used+0x1a8>
    1de9:	48 89 c7             	mov    %rax,%rdi
    1dec:	e8 ef f3 ff ff       	call   11e0 <puts@plt>
    1df1:	48 8d 05 e0 13 00 00 	lea    0x13e0(%rip),%rax        # 31d8 <_IO_stdin_used+0x1d8>
    1df8:	48 89 c7             	mov    %rax,%rdi
    1dfb:	e8 e0 f3 ff ff       	call   11e0 <puts@plt>
    1e00:	48 8d 05 01 14 00 00 	lea    0x1401(%rip),%rax        # 3208 <_IO_stdin_used+0x208>
    1e07:	48 89 c7             	mov    %rax,%rdi
    1e0a:	e8 d1 f3 ff ff       	call   11e0 <puts@plt>
    1e0f:	48 8d 05 22 14 00 00 	lea    0x1422(%rip),%rax        # 3238 <_IO_stdin_used+0x238>
    1e16:	48 89 c7             	mov    %rax,%rdi
    1e19:	e8 c2 f3 ff ff       	call   11e0 <puts@plt>
    1e1e:	48 8d 05 43 14 00 00 	lea    0x1443(%rip),%rax        # 3268 <_IO_stdin_used+0x268>
    1e25:	48 89 c7             	mov    %rax,%rdi
    1e28:	e8 b3 f3 ff ff       	call   11e0 <puts@plt>
    1e2d:	48 8d 05 5f 14 00 00 	lea    0x145f(%rip),%rax        # 3293 <_IO_stdin_used+0x293>
    1e34:	48 89 c7             	mov    %rax,%rdi
    1e37:	b8 00 00 00 00       	mov    $0x0,%eax
    1e3c:	e8 ef f3 ff ff       	call   1230 <printf@plt>
    1e41:	90                   	nop
    1e42:	5d                   	pop    %rbp
    1e43:	c3                   	ret    

